0	0
1	0
2	0
3	0
4	0
5	1
6	1
7	2
8	1
9	6
10	3
11	2
12	5
13	6
14	5
15	8
16	6
17	12
18	14
19	13
20	16
21	20
22	25
23	27
24	27
25	22
26	37
27	39
28	42
29	39
30	55
31	50
32	66
33	61
34	65
35	70
36	72
37	83
38	93
39	91
40	105
41	101
42	113
43	104
44	94
45	104
46	115
47	118
48	133
49	123
50	140
51	129
52	136
53	139
54	152
55	147
56	156
57	149
58	158
59	166
60	160
61	149
62	174
63	175
64	166
65	197
66	171
67	159
68	161
69	172
70	172
71	190
72	191
73	202
74	198
75	190
76	177
77	170
78	178
79	202
80	170
81	201
82	181
83	191
84	173
85	188
86	181
87	183
88	165
89	173
90	157
91	190
92	178
93	181
94	144
95	178
96	155
97	156
98	163
99	166
100	166
101	138
102	145
103	151
104	148
105	111
106	122
107	123
108	148
109	133
110	121
111	134
112	117
113	120
114	108
115	110
116	123
117	128
118	94
119	90
120	115
121	92
122	88
123	80
124	111
125	89
126	67
127	97
128	68
129	90
130	60
131	74
132	72
133	85
134	73
135	60
136	62
137	59
138	57
139	60
140	55
141	48
142	44
143	46
144	52
145	50
146	43
147	40
148	42
149	36
150	27
151	40
152	26
153	23
154	37
155	30
156	31
157	18
158	26
159	31
160	22
161	24
162	21
163	17
164	22
165	28
166	22
167	13
168	18
169	26
170	11
171	11
172	16
173	10
174	7
175	18
176	6
177	14
178	8
179	10
180	4
181	5
182	12
183	12
184	7
185	8
186	11
187	11
188	2
189	6
190	5
191	5
192	8
193	4
194	3
195	4
196	5
197	3
198	3
199	1
200	2
201	2
202	1
203	5
204	3
205	4
206	2
207	3
208	2
209	1
210	0
211	2
212	2
213	0
214	1
215	0
216	0
217	0
218	0
219	3
220	2
221	0
222	1
223	0
224	0
225	1
226	1
227	0
228	0
229	2
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	1
240	0
241	2
242	0
243	0
244	0
245	1
246	1
247	1
248	1
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	1
Finished
